ciudad,vertical,negocio,reseñas,nota,web,telefono,place_id,lead
Getafe,pilates,Gymdance,10,4.5,http://www.gymdance.es/,+34633152009,ChIJo3LalckgQg0RX_6-HDoG_zc,7
Majadahonda,dental,Clínica Odontológica Dr. Fernando Rey,10,4.5,http://www.clinicadoctoresrey.es/,+34916381245,ChIJo0L3jY2EQQ0R5E8Y52XuxZU,7
Leganés,dental,CLINICA PRIEDENT,10,4.5,https://www.clinicaspriedent.es/,+34916800140,ChIJvbocavWJQQ0RFrbIURPnG5o,7
Madrid,dental,Odontología BORDEL NIETO,10,4.3,http://www.odontologiabordelnieto.es/?page_id=61,+34913784348,ChIJi5VmQIkpQg0RiSJkRuufCZ8,7
Madrid,dental,Clínica Dental y Maxilofacial en Pozuelo y Aravaca - Dr. Riba,10,4.2,http://iomm.es/,+34913573699,ChIJqWp6MKuHQQ0RejDCWJPJQ6I,7
Móstoles,dental,Clinica Dental Milena,10,4.2,https://clinicadentalmilena.com/,+34912620460,ChIJdS0EK86NQQ0RaKWoncBNyrQ,7
Madrid,dental,Clínica Dental,10,3.8,http://www.centrodentalprevent.com/,+34695825036,ChIJa9nWepcnQg0ReWOtV_aIkro,7
Velilla de San Antonio,estetica,Centro de estetica Estar Bell@ Velilla,10,4.5,https://www.estarbellavelilla.org/,+34916705348,ChIJVZi_JWw5Qg0RBSs1o6OEKBE,7
Móstoles,peluqueria,Peluquería Unisex Judith,10,4.1,https://wa.link/lpqz0p,+34627333837,ChIJFQsmJwCNQQ0Rj7732YED6bg,7
Barcelona,fisioterapia,Francisco Javier Cerrato Gómez,10,4.1,http://www.fisioterapia-xaviercerrato.com/?pagerd_ec5mza,+34932680484,ChIJBcmntwCjpBIRqnT2jOVw5Cc,7
Barcelona,dental,CIDESID - Centro Internacional de Formación Dental,10,4.2,https://cidesid.es/,+34722595731,ChIJ___vYI6apBIRWwTiVCMhh7k,7
Barcelona,dental,Clínica Dental Pasalodos,10,4.2,http://www.clinicapasalodos.com/,+34934174721,ChIJFVjiDhKYpBIRcv5rz9IywMk,7
Manises,dental,Clinica +Dental Manises (Dra. Marco),10,3.5,http://www.clinicasmasdental.com/,+34961092377,ChIJPSsBtKVaYA0RGH4WLuQJzcU,7
Alcobendas,pilates,Fisioterapia La Vega,11,4.4,http://www.fisioterapialavega.com/,+34916613934,ChIJyTOIPV8sQg0R3xYtbNmkec0,7
Madrid,pilates,"Yoga Pilates Madrid Al Alba del Siglo XXI, Arganzuela",11,4.5,https://yoga-pilates-madrid-al-alba-del-siglo-xxi.negocio.site/,+34915303916,ChIJEaCTJtInQg0RqTH8PXS0DNE,7
Madrid,pilates,Ukiyo Room Pilates,11,3.9,https://ukiyoroom.es/,+34686366274,ChIJN1jVdnovQg0RJoq-wi74UzY,7
Madrid,fisioterapia,Clinica de Fisioterapia Madrid,11,4.2,https://fisioterapialogical.com/,+34699765933,ChIJAd-zkGInQg0R-orASbeQ2RI,7
Madrid,dental,Clínica dental Ruiz Tarjuelo,11,4.3,http://www.cuidamostusdientes.com/,+34914630741,ChIJ4epwMAooQg0R8IIB-TwraZk,7
Madrid,estetica,Velvet Beauty Center,11,4.2,https://linktr.ee/velvetbeautycenter,+34675726138,ChIJawi_3copQg0RLkCAAaKxarQ,7
Madrid,estetica,Bupe´S Beauty,11,4.3,https://www.instagram.com/bupesbeauty/?hl=es,+34625553891,ChIJXcEy5yQnQg0R4oFgXx-8wr4,7
Barcelona,pilates,2enDansa,11,4.5,http://www.2endansa.com/,+34936696470,ChIJf9ZpJUKYpBIR8GBEbjfzhw8,7
Barcelona,dental,Clínica Dental Maragall 171,11,4.5,http://www.artidentegara.com/,+34933402006,ChIJH5fOjSy9pBIR44r2GeRpYLY,7
Pallejà,dental,Clínica Dental Sendra - Centre dental Francesc Macià,11,4.3,http://www.clinicadentalsendra.cat/,+34936634166,ChIJVz37poWapBIR73k2QrQqe9k,7
València,dental,"Dra. Elena Tortosa Carrasco, Dentista",11,4.5,https://www.doctoralia.es/elena-tortosa-carrasco/dentista/valencia?utm_source=google&utm_medium=gmb&utm_campaign=47593&utm_content=website,+34653979988,ChIJI0-Yr7xPYA0R8CqelSZ6_bA,7
Paiporta,dental,Clínica Dental Paiporta Eulalia Gregori,11,3.9,https://www.instagram.com/ajunt_paiporta/p/DCzAKcONSAO/,+34963970660,ChIJYVpaTVlOYA0RMXQbS_A_0bo,7
Madrid,pilates,Ludmila Sorokin Pilates,12,4.3,https://www.ludmilasorokinpilates.com/,+34626827085,ChIJK808xh0pQg0RgCsyerExmME,7
Madrid,pilates,H16,12,4.1,http://www.pilatesh16.com/,+34914686985,ChIJMbxD90cmQg0RaOR1SBLLwR8,7
Madrid,pilates,Clinica Salud y Más,12,4.3,https://mejoresmadrid.com/clinica-salud-y-mas/,+34914414877,ChIJvVw7IfQoQg0RABszspL6x2w,7
Móstoles,dental,Clínica Dental Móstoles Dra. Bueno - Peritaje dental,12,4.5,https://www.clinicadentalmostoles.es/,+34608352690,ChIJe3lCuieMQQ0RT-ukFPz4M48,7
Madrid,dental,Clinica Dental Godoy,12,4,https://www.clinicadentalgodoy.com/quienes-somos/,+34914660623,ChIJy_RZN_UnQg0RZ9UAF12NUaU,7
Madrid,dental,Clínica Dental Dr.Hugo Fernández González,12,4.5,http://cirujanodental.es/,+34914163110,ChIJF_2OtNkoQg0RXq4iKXhYE6Y,7
