ciudad,vertical,negocio,reseñas,nota,web,telefono,place_id,lead
Córdoba,estetica,Centro de estética Diva | Centro Comercial Zoco,10,4.4,https://www.dezacalidad.es/centros/gabinete-de-estetica-diva-centro-comercial-zoco/,+34957911050,ChIJmxw98L8hbQ0Rl-vpQxz_iuc,7
Alcobendas,pilates,Fisioterapia La Vega,11,4.4,http://www.fisioterapialavega.com/,+34916613934,ChIJyTOIPV8sQg0R3xYtbNmkec0,7
Madrid,pilates,"Yoga Pilates Madrid Al Alba del Siglo XXI, Arganzuela",11,4.5,https://yoga-pilates-madrid-al-alba-del-siglo-xxi.negocio.site/,+34915303916,ChIJEaCTJtInQg0RqTH8PXS0DNE,7
Madrid,pilates,Ukiyo Room Pilates,11,3.9,https://ukiyoroom.es/,+34686366274,ChIJN1jVdnovQg0RJoq-wi74UzY,7
Madrid,fisioterapia,Clinica de Fisioterapia Madrid,11,4.2,https://fisioterapialogical.com/,+34699765933,ChIJAd-zkGInQg0R-orASbeQ2RI,7
Madrid,dental,Clínica dental Ruiz Tarjuelo,11,4.3,http://www.cuidamostusdientes.com/,+34914630741,ChIJ4epwMAooQg0R8IIB-TwraZk,7
Madrid,estetica,Velvet Beauty Center,11,4.2,https://linktr.ee/velvetbeautycenter,+34675726138,ChIJawi_3copQg0RLkCAAaKxarQ,7
Madrid,estetica,Bupe´S Beauty,11,4.3,https://www.instagram.com/bupesbeauty/?hl=es,+34625553891,ChIJXcEy5yQnQg0R4oFgXx-8wr4,7
Barcelona,pilates,2enDansa,11,4.5,http://www.2endansa.com/,+34936696470,ChIJf9ZpJUKYpBIR8GBEbjfzhw8,7
Barcelona,dental,Clínica Dental Maragall 171,11,4.5,http://www.artidentegara.com/,+34933402006,ChIJH5fOjSy9pBIR44r2GeRpYLY,7
Pallejà,dental,Clínica Dental Sendra - Centre dental Francesc Macià,11,4.3,http://www.clinicadentalsendra.cat/,+34936634166,ChIJVz37poWapBIR73k2QrQqe9k,7
València,dental,"Dra. Elena Tortosa Carrasco, Dentista",11,4.5,https://www.doctoralia.es/elena-tortosa-carrasco/dentista/valencia?utm_source=google&utm_medium=gmb&utm_campaign=47593&utm_content=website,+34653979988,ChIJI0-Yr7xPYA0R8CqelSZ6_bA,7
Paiporta,dental,Clínica Dental Paiporta Eulalia Gregori,11,3.9,https://www.instagram.com/ajunt_paiporta/p/DCzAKcONSAO/,+34963970660,ChIJYVpaTVlOYA0RMXQbS_A_0bo,7
Seville,dental,Centro de Implantologia Oral de Sevilla,11,3.5,http://www.ciossevilla.es/,+34954222260,ChIJ6a1bUzlsEg0R-xpRdEN46OY,7
Seville,peluqueria,TonysBeautySalon,11,4.5,https://www.instagram.com/tonysbeautysalon_/,+34954442565,ChIJ_wd38TdvEg0RSjFG0Mm9nRc,7
Zaragoza,dental,Clínica Dental Dra. Mené - Sobrarbe,11,3.2,http://www.clinicadentalmene.com/,+34976506511,ChIJ9Y3N9owUWQ0RclpJhgc5bvM,7
Torreagüera,fisioterapia,Clínica de Fisioterapia Montegrande,11,4.3,http://www.clinicamontegrande.com/,+34968873148,ChIJXUjU8KqCYw0RRs1A4g5V-Xw,7
Murcia,dental,Clínica Dental Sanitas Milenium Murcia,11,2.8,https://www.sanitas.es/dental/clinicas-dentales-milenium/murcia/murcia/murcia-avenida-juan-carlos?gmb=gmb%3Af-google%3Am-link%3Anc-clinica%3Ap-dental,+34968172146,ChIJb5r4dieBYw0R1N1hWshOgRA,7
Murcia,dental,Odontológika Centros Dentales,11,2.5,http://www.odontologika.es/centros.html,+34968879228,ChIJ_YtHbqeCYw0RbV8xVUy_z8g,7
Bilbao,dental,Clinica Dental Txurdinaga,11,4.5,http://www.clinicadentaltxurdinaga.com/,+34944732929,ChIJ27eLhK1PTg0RgzKiFi7TQQ8,7
Bilbao,dental,Carmen Eguidazu Morosova,11,4.2,https://clinicadentaleguidazu.es/,+34944118412,ChIJBeB_q0xOTg0RdJrFN3kM4Jw,7
Bilbao,dental,Clínica Dental Irala,11,3.9,http://www.laboratoriodentalirala.es/,+34944100530,ChIJuYidVtVRTg0RWgjUuLXtY8Q,7
Portugalete,dental,Clínica Dental Portugalete Smile,11,4.3,https://www.facebook.com/Clinicadentalportugalete/,+34946562455,ChIJWabUf4hZTg0Rr6T-kzOM7ck,7
Bilbao,dental,Clínica Dental Visión Dental Bilbao S.L,11,3.5,https://www.facebook.com/visiondental03,+34603847778,ChIJL7ewQylQTg0RY5v4oiJIlew,7
Areeta / Las Arenas,estetica,Arantzazu Bustamante,11,4.4,http://www.arantzazubustamante.com/,+34696521578,ChIJqxhDlStaTg0R81LMH1uTtJo,7
Madrid,pilates,Ludmila Sorokin Pilates,12,4.3,https://www.ludmilasorokinpilates.com/,+34626827085,ChIJK808xh0pQg0RgCsyerExmME,7
Madrid,pilates,H16,12,4.1,http://www.pilatesh16.com/,+34914686985,ChIJMbxD90cmQg0RaOR1SBLLwR8,7
Madrid,pilates,Clinica Salud y Más,12,4.3,https://mejoresmadrid.com/clinica-salud-y-mas/,+34914414877,ChIJvVw7IfQoQg0RABszspL6x2w,7
Móstoles,dental,Clínica Dental Móstoles Dra. Bueno - Peritaje dental,12,4.5,https://www.clinicadentalmostoles.es/,+34608352690,ChIJe3lCuieMQQ0RT-ukFPz4M48,7
Madrid,dental,Clinica Dental Godoy,12,4,https://www.clinicadentalgodoy.com/quienes-somos/,+34914660623,ChIJy_RZN_UnQg0RZ9UAF12NUaU,7
Madrid,dental,Clínica Dental Dr.Hugo Fernández González,12,4.5,http://cirujanodental.es/,+34914163110,ChIJF_2OtNkoQg0RXq4iKXhYE6Y,7
Móstoles,dental,Clínica Dental Las Lomas,12,3.8,https://www.laslomasclinicadental.com/,+34916462755,ChIJKRCE1YKOQQ0RYTwW9GkUVKs,7
Madrid,estetica,Estética Especializada Parreño,12,3.8,http://esteticaparreno.es/,+34911103586,ChIJec6aN_8lQg0RWX4E0cq3zaM,7
Sant Cugat del Vallès,pilates,Nina Studio,12,3.9,http://www.ninastudio.es/,+34628091865,ChIJDZtUB9yWpBIRoEN72fKaTk0,7
Barcelona,fisioterapia,Fisioakasa Fisioterapia a Domicilio,12,4.3,https://www.fisioakasa.com/,+34661353487,ChIJH_1Z1029pBIR-Hv-Fskicuk,7
Sabadell,dental,Eix Clínica Dental,12,2.7,https://altersalus.es/dental-sabadell-2/,+34937231273,ChIJYQXQnPqUpBIReLxt4j_CepY,7
Sant Boi de Llobregat,estetica,Centre d'Estètica Haniel,12,4.3,http://www.haniel.es/,+34936309528,ChIJ14bwpIWbpBIRgVP3Ej2mH5M,7
Cornellà de Llobregat,peluqueria,PELUQUERÍA GAVARRA.,12,4,https://instagram.com/peluqueria_gavarra?r=nametag,+34632440895,ChIJb3HlwRGZpBIR0RrwlzbTJ7Q,7
València,pilates,QEP Pilates,12,4.3,http://www.qeppilates.es/,+34963338245,ChIJZeNi4LlIYA0RstQHLMuI4lY,7
València,pilates,Estudio de Pilates Teresa Tomas,12,4.4,http://www.pilatestt.es/,+34678415172,ChIJASIVLoNPYA0RH5qxXencUYU,7
Paiporta,dental,Clínica Dental Nova Paiporta,12,3.3,https://www.clinicasdentalesdrballester.com/nova-paiporta,+34963979717,ChIJFaGeeVxOYA0RdeuBH0iZA8k,7
València,dental,Clínica Dental Llorens y Montero (antiguamente Dr. Vicente Palomares),12,4.3,https://www.instagram.com/clinicadental_llorensymontero/,+34963334884,ChIJRfM3bNFPYA0RERA3MHKrDPU,7
Seville,dental,Biocentro Salud Sevilla,12,4.3,https://www.biocentrosevilla.com/,+34652942504,ChIJ2_bCNQ5sEg0RzWfFwJxbWbA,7
Seville,dental,Clínica Dental Martín,12,4,http://clinicamartin.es/,+34954123832,ChIJU2kdkutuEg0Rm41v9aDjBuk,7
Seville,estetica,Centro estetico avanzado Sevilla Bodylaser,12,4.5,http://www.bodylasersevilla.com/,+34954991404,ChIJxZGty5luEg0RsOiNoQRap-4,7
Seville,peluqueria,Peluquería Saray Guzmán,12,4.4,https://sites.google.com/view/sarayguzman,+34954258900,ChIJzQmPRsFuEg0Rojx1Pmg6ASE,7
Zaragoza,fisioterapia,elfisio.es,12,4.5,http://www.elfisio.es/,+34670755440,ChIJOxJgtucUWQ0RlNP9hQW7DSk,7
Murcia,fisioterapia,Ilustre Colegio Oficial de Fisioterapeutas de la Región de Murcia,12,4,http://www.cfisiomurcia.com/,+34968223079,ChIJ_940vAGCYw0RPFEOjwqIHls,7
El Palmar,dental,"Alba, Clínica dental",12,3.7,http://www.albadental.es/,+34968966004,ChIJJ_CJRwZ_Yw0RuGUOsrqR4-0,7
Sangonera la Verde,dental,Clínica Dental Sangonera,12,4.3,https://clinicadentalsangonera.es/,+34968869752,ChIJG6E2H9V_Yw0RAbG4DbiA9P4,7
Molina de Segura,dental,Clínica Dental Doctores Rodríguez,12,4.3,http://www.clinicadentaldoctoresrodriguez.com/,+34968615256,ChIJRQJbHACHYw0RSK5b7js2PyM,7
Sangonera la Verde,peluqueria,Aire estilistas,12,4,https://aire-estilistas.negocio.site/?utm_source=gmb&utm_medium=referral,+34679111572,ChIJj2-OK-5_Yw0RNTlghrBpiPM,7
Palma Nova,fisioterapia,Fisioilles,12,3.8,http://www.fisioilles.com/,+34971682496,ChIJVZ1huTeJlxIRDnaF7mTSW64,7
Palma,dental,Clinica Dental Dr Garcias,12,4.3,http://www.dentalgarcias.com/,+34971723972,ChIJayoFlFOSlxIR1z6NqbdxyCE,7
Palma,peluqueria,Peluquería Latina Liuda,12,3.8,https://www.instagram.com/peluqueria_latina_liuda?igsh=MWlieHpqaXYzMnRseA==,+34971967488,ChIJC2-m4KmTlxIR5bDbrYofb4Q,7
Astrabudua,dental,Clínica Dental y Podologia Etxegorri,12,4.3,http://dentaletxegorri.com/,+34944676366,ChIJ_aRvxltaTg0RJIKJeejvTp8,7
Sestao,dental,Clínica Dental Boca Sana,12,3.3,https://www.facebook.com/profile.php?id=100012548927106,+34636631184,ChIJd9lZvTpbTg0RFd22TQamTKI,7
Sestao,dental,Dental Arcos,12,4.2,http://www.dentalarcos.com/,+34944955893,ChIJrY4--BdaTg0R9TTm756ehHs,7
Bilbao,estetica,Salón Estética Yaneth Terrazas,12,3.9,https://www.yanethterrazas.com/,+34607555270,ChIJlQx2qMJRTg0R0Vg53lR0GqE,7
Bilbao,estetica,Ene Nails,12,4.1,https://ene-nails.negocio.site/,+34622698938,ChIJvYupVNFPTg0Rg6ClsvxDzfs,7
Bilbao,estetica,Dra. Anne Barrutia Borque,12,4.3,https://ciosalud.com/,+34944008618,ChIJdTbAXvBRTg0R2unoaj20Cgk,7
Algorta,peluqueria,Peluquería de Caballeros María,12,4.1,https://peluqueriamaria.es/,+34944913104,ChIJuzLm2OZbTg0RpiLWqvcwQQs,7
Alicante,dental,Clínica Dental Balaciart,12,4.4,http://clinicabalaciart.es/,+34658579010,ChIJiXGNNrM3Yg0Ryr3Lwyh_pOE,7
Sant Vicent del Raspeig,dental,Clinica Dental Deltell,12,4.3,http://www.clinicadentaldeltell.es/,+34965672331,ChIJsSPVowA0Yg0RO2ny1OcUA2g,7
Córdoba,dental,Clínica Dental Alonso-Martin,12,4.4,http://clinicaalonsomartin.es/,+34957479290,ChIJv1B0lmTfbA0RinnpSWzrtLE,7
Córdoba,dental,Clínica Alegro,12,4.1,https://clinicadentalemilialuque.com/,+34957467749,ChIJC6TGBVvfbA0RGSfxYb3TQxI,7
Madrid,dental,RP M,13,4.2,http://www.institutorpm.com/,+34914573358,ChIJW6sExCYpQg0RmRBlJELSJpw,7
Barcelona,fisioterapia,Escola d'Arts Marcials Chi Shin,13,4.5,https://chishin.org/,+34625401297,ChIJj_wdK5CYpBIR-qMHCea5S8U,7
Barcelona,fisioterapia,NBSALUT,13,4,http://www.nbsalutnoubarris.com/,+34933534142,ChIJuaFF4uK8pBIRjo1LlyOP3GQ,7
L'Hospitalet de Llobregat,dental,Clinica Dental Implants i Dents,13,4.5,http://www.implantsidents.com/,+34934382252,ChIJbVs2ZByZpBIRejezdhJmvpA,7
Barcelona,dental,Centre Odontològic Prodents,13,4.4,http://www.prodentsbcn.com/,+34933306050,ChIJdY6Fp_SYpBIRf8t41shSYZo,7
Santa Coloma de Gramenet,peluqueria,Excellence Peluqueria Unisex,13,3.5,https://www.instagram.com/kamal.belkadi_?igsh=MXFjaG45azFkZG5meg==,+34637293162,ChIJEwKlYZq8pBIR6p1dd-Giqpg,7
Paiporta,fisioterapia,Laura García Martínez,13,4.2,https://www.clinicapaiporta.com/,+34963975023,ChIJYQA5d1xOYA0RdWWM59YWXIo,7
València,dental,Clínica Dental Dr. Manuel Sancho,13,3.9,http://www.doctoralia.es/medico/sancho+lluesa+manuel-10372033,+34963331094,ChIJ11Zul8pIYA0RDkO5QBZzXqE,7
Meliana,dental,Clínica dental Miñana-Peris,13,4.4,https://dentalminanaperis.webnode.es/,+34961491224,ChIJmQ_2zfxHYA0RCSA3GUr5O6I,7
Torrent,dental,Clínica Dental | Dres. Martínez Palasí,13,4.5,https://www.instagram.com/clinicadentalmartinez_palasi/,+34961570869,ChIJPyJYh7lRYA0RqDuHnHLgT8o,7
València,dental,"Buba, clínicas dentales (Pedro de Valencia, 26)",13,3.8,http://www.clinicasbuba.com/,+34630680767,ChIJmXwHuGFIYA0R8RINoLNC5dQ,7
València,estetica,Sarah Estética,13,4.4,https://www.instagram.com/sarahzaldivarestetica/,+34648269850,ChIJlbNXt4lPYA0ROmMR1g-IVPw,7
Santiponce,dental,Clínica Dental Santiponce,13,4.1,https://www.clinicadentalsantiponce.com.es/,+34955997736,ChIJx8Hi8RhrEg0R20J8Zjh-H8E,7
Montequinto,dental,Clínica Dental Margarita González,13,3.2,http://clinicadentalfamiliar.com/,+34955386191,ChIJS9nmdMpvEg0R7pcusWiwGBk,7
Seville,estetica,Centro de estética Claudia Tudela Ruiz,13,1.6,https://m.facebook.com/pg/Est%C3%A9tica-Claudia-Tudela-896510507151932/community/?ref=page_internal&msite_tab_async=1,+34637641573,ChIJ8-RNlTptEg0RSSbDADQBEhE,7
Coria del Río,estetica,CLINICAS ATHENEA | Medicina Estética y Dermoestética Coria del Rio,13,4.4,http://www.clinicasathenea.com/,+34647733615,ChIJT8elNLdyEg0RCtBSip7xZMg,7
Alcalá de Guadaíra,estetica,Peluquería Patricia,13,3.9,https://peluqueriapatriciasalon.wordpress.com/,+34635474485,ChIJv5PuBcBkEg0RPUgmOby2gO0,7
San Juan de Aznalfarache,peluqueria,PELUQUERIA FEELING,13,4.4,http://www.facebook.com/Feelingpeluqueria,+34954761171,ChIJsZkyDQJtEg0RC3rAsJrKbpk,7
Zaragoza,dental,Clínica Dental Rosario Asensio Loren,13,4,http://odontopediatriaasensio.com/,+34976564573,ChIJO7wtE9kUWQ0R6u3h-wS1lxk,7
Zaragoza,peluqueria,Peluquería Hollywood,13,4.4,https://instagram.com/_hollywoodunisex_?igshid=YmMyMTA2M2Y=,+34876652542,ChIJWRwz_HEVWQ0RdOxuk9ZPMLk,7
Rincón de la Victoria,peluqueria,Peluqueria Charlie peluqueros,13,4.3,https://www.facebook.com/Charliepeluqueros-235670247301020/,+34631084373,ChIJL0F4QsVbcg0RakEe93nVKm0,7
Murcia,fisioterapia,Fisioterapia Bolarín,13,4.3,http://cemede.es/,+34968211464,ChIJW5WjVRqCYw0R8_MZ22wvVjk,7
Sangonera la Seca,dental,Clínica Dental Marian Riquelme Sánchez,13,4.5,https://clinicadentalmarianriquelme.com/,+34657109294,ChIJtTuD9RKAZA0RlNfdguRYsAM,7
Murcia,dental,Corporación Dental San José de la Vega,13,4.1,http://www.corporaciondental.es/,+34968934481,ChIJNXxpOXN4Yw0RYXAt-AnjUy8,7
Puente Tocinos,estetica,Peluquería & Estética Yasmine,13,4.5,https://www.facebook.com/Yasmine.Peluqueria/,+34968063528,ChIJTW-1q2CCYw0R8UJI0MI0-cc,7
Murcia,estetica,Dr. Beltrán,13,3.2,http://www.doctorbeltran.es/,+34680920580,ChIJp0Vquh2CYw0R3ydUEs_m9S4,7
Orihuela,peluqueria,NewLook Estilistas Orihuela,13,4.2,https://es-es.facebook.com/newlook.estilistas.orihuela,+34667816291,ChIJuQOw1h2ZYw0R-Eg1WmvnC3k,7
Palma,dental,Dr. Pablo Casanova Soto,13,4.1,https://www.casanovadental.com/,+34971735282,ChIJY9nd7GjzlxIR7VYcT2XxKDw,7
Palma,estetica,Beautiful Girls Peluquería Palma Local 1,13,4.1,http://www.peluqueriabeautifulgirls.com/,+34662566196,ChIJJ7zeY_eTlxIRn7UpA2Cugq0,7
Las Palmas de Gran Canaria,dental,VIGO dental Las Palmas,13,4.1,http://vigodental.es/,+34672513753,ChIJ4UYx41CVQAwR9I89C1GEsCM,7
Las Palmas de Gran Canaria,estetica,DERMATOLOGIA INTEGRAL CANARIA,13,3.8,http://www.dermatologiaintegral.es/,+34928589132,ChIJWRNTe4yVQAwRx1_hRYBpLDs,7
Telde,estetica,Dahuli nails,13,3.5,https://dahuli-nails.ueniweb.com/,+34683640091,ChIJ45uv6dqXQAwR9SGlCi6DjYk,7
Bilbao,dental,Clinica dental Sokadent,13,3.8,http://www.sokadent.es/,+34946426168,ChIJEVf_CmRQTg0RFaY8CucXLxA,7
Laudio / Llodio,dental,Clínica Dental Dr. Yandiola,13,4.2,http://www.yandioladental.com/,+34946723100,ChIJKzdXQ8hSTg0RcUSlvisZ2KI,7
Moreaga,dental,Clínica Dental Sopelana,13,3.4,http://www.dentalsopelana.es/,+34946765085,ChIJqaC0aWRcTg0RQk_tNlBtauY,7
Arrigorriaga,dental,clinica dental julen idirin,13,4.1,http://www.dentaljulenidirin.com/,+34944716810,ChIJ_6et7CVMTg0RivwUcd97v0s,7
Andra Mari,dental,Clinica Dental Bidezabal,13,4,https://www.bidezabalclinicadental.es/,+34944910879,ChIJz-8fUeNbTg0RUClxmecGgVM,7
Santurtzi,dental,Félix Solana Goitia,13,3.7,https://solanadental.es/,+34944836845,ChIJyymdHnZZTg0RCO8PHk398nY,7
Bilbao,estetica,Cosmetic Land,13,3.8,http://cosmeticland.es/,+34944249658,ChIJhyA4edBPTg0RFhGvwf1wo_4,7
Bilbao,peluqueria,Peluquería S&B,13,4.5,https://peluqueriasb.com/,+34944414062,ChIJkwbwsNBPTg0Rmi51ZAZMW84,7
Arrigorriaga,peluqueria,B M R,13,4.5,https://sites.google.com/view/bmrpeluqueriaarrigorriaga-com/inicio,+34946711830,ChIJF1WKrjpMTg0RDwju08wwrFA,7
Alicante,pilates,LM Concept Pilates Studio,13,4.4,http://lmconcept.es/,+34649490887,ChIJ_8sGQV43Yg0RemyByzFrLDs,7
Santa Pola,estetica,Fantasy Nails Olga Bonmati,13,4.4,http://fantasynails29.booksy.com/,+34660409770,ChIJN6pKPDdNYg0R8Ct5df3SUW0,7
Madrid,pilates,VitaminaZen,14,4.3,http://www.vitaminazen.es/,+34640545289,ChIJl6HUcM0nQg0R2yIO9oVzwbA,7
Madrid,fisioterapia,Pieclinic,14,3.5,http://www.pieclinic.com/,+34914073883,ChIJD00bZbcvQg0RcPxf75pCnxQ,7
Madrid,dental,Clinica Dental KS,14,4.5,http://www.clinicadentalks.com/,+34915286013,ChIJJR3SlDAmQg0Rz7ZolZ1IiZA,7
Madrid,dental,Clinica Dental Dr. Jimenez,14,4.5,http://dentaldrjimenez.es/,+34915701770,ChIJl7_W1gYpQg0RGt6J6xlVfrI,7
Badalona,pilates,Uve Movement,14,4.4,https://uvemovement.com/,+34649267534,ChIJKwIP60O7pBIRkKbwKNOPCpg,7
Barcelona,pilates,Centre Pilates Barcelona,14,4.5,http://www.pilates-barcelona.com/,+34933010846,ChIJyyObRuWipBIRGXWlB1ufIVY,7
Mollet del Vallès,dental,Clínica Dental Dr. Machuca,14,4.1,https://clinicadentalmachuca.com/,+34935707089,ChIJddqnrS2_pBIRVnXsr7ZUmZc,7
Barcelona,dental,Fundacion Sanitaria Pere Claver,14,4.4,http://www.institutdentalpereclaver.org/,+34934431200,ChIJqxVji1qipBIRO4D9TyY7RJg,7
Viladecans,dental,Elena Puigdemasa,14,4.3,http://www.clinicapuigdemasa.com/,+34633516776,ChIJ8bmUBemcpBIRKl5ivzE6gMI,7
Barcelona,dental,Diseño de Sonrisas,14,4.4,https://disenodesonrisas.com/,+34932263571,ChIJBZzVBX6ipBIRGUGUZs9ieMc,7
Barcelona,dental,Clínica Dental Marina Dent,14,3.3,http://www.clinicaortizpuigpelat.com/,+34932968385,ChIJMzpVrpmYpBIR0p6LZRzlqsw,7
Barcelona,dental,Clínica Dental Bejar,14,4.4,http://dentalbejar.com/,+34933255543,ChIJWX2CtXiipBIRV8fkjGV7-BU,7
Montornès del Vallès,estetica,MCruz Professionals Nails,14,4.4,http://www.facebook.com/mcruz.nail.5,+34722401330,ChIJkQ2HgGi5pBIRykf-NSdOBb0,7
Barcelona,peluqueria,CENTRE DE FORMACIÓ COLOMER SL,14,4.5,https://escolacolomer.cat/,+34932989495,ChIJ6yQ-CYWZpBIR0h99x7bTAhM,7
València,dental,Clínica Aliaga,14,4.1,http://www.clinicaaliaga.com/,+34963513193,ChIJFcKk_7NIYA0ReX4v-4kN0K4,7
València,dental,"Buba, clínicas dentales (Garza Imperial, 49)",14,4.2,http://www.clinicasbuba.com/,+34630680767,ChIJR0EqoXRPYA0RUoDfvP378x8,7
